"location","ams_code","year","pop"
"Gouda",10302,1889,19699
"Groesbeek",10616,1889,5010
"Groningen",10426,1889,56018
"Haaksbergen",11435,1889,4873
"Haarlem",10357,1889,48544
"Hoofddorp",11387,1889,15287
"Nieuw Vennep",11387,1889,15287
"Badhoevedorp",11387,1889,15287
"Halsteren",10387,1889,3012
"Harderwijk",10786,1889,7298
"Hardinxveld Giessendam",10167,1889,4871
"Haren",11058,1889,3864
"Harlingen",10909,1889,10193
"Joure",10022,1889,7528
"Hattem",10673,1889,2844
"Heemskerk",10679,1889,1987
"Heemstede",11288,1889,3748
"Heerde",10291,1889,5525
"Heerhugowaard",10752,1889,2744
"Heerlen",10902,1889,5350
"Heesch",10149,1889,2102
"Heiloo",10793,1889,1624
"Nijverdal",10806,1889,6263
"Helmond",10932,1889,9026
"Hendrik Ido Ambacht",10416,1889,2955
"Hengelo",10907,1889,13744
"Malden",10600,1889,1595
"Hillegom",11236,1889,3781
"Hilversum",11285,1889,12453
"Hoensbroek",11177,1889,1203
"Hoogeveen",10839,1889,11694
"Hoogezand",10410,1889,8661
"Hoogland",10545,1889,2243
"Hoorn",11392,1889,11031
"Horst",11108,1889,4184
"Houten",10230,1889,1763
"Huissen",11047,1889,4074
"Huizen",11170,1889,4421
"Hulst",11408,1889,2415
"IJsselmuiden",10641,1889,2154
"IJsselstein",10152,1889,3466
"Nieuwegein",10374,1889,2628
"Kampen",10253,1889,18686
"Katwijk",10707,1889,6928
"Kerkrade",10313,1889,7017
"Koog aan de Zaan",10776,1889,2708
"Krimpen aan den IJssel",10859,1889,2145
"Krommenie",10373,1889,2675
"Laren",10649,1889,5995
"Leek",10604,1889,4951
"Leerdam",10685,1889,4082
"Leeuwarden",11228,1889,30416
"Leiden",10702,1889,43363
"Leiderdorp",10058,1889,3850
"Lemmer",10142,1889,5808
"Leusden",10978,1889,1775
"Lichtenvoorde",10242,1889,4253
"Lisse",10197,1889,2673
"Lochem",11263,1889,3552
"Oldenzaal",11045,1889,7328
"Kaatsheuvel",11259,1889,7208
"Losser",11166,1889,4711
"Maarssen",10874,1889,1416
"Maassluis",10880,1889,6454
"Maastricht",10182,1889,32070
"Made",10258,1889,3570
"Meppel",11204,1889,8898
"Middelburg",10122,1889,16473
"Mijdrecht",11379,1889,3772
"Monster",10019,1889,4489
"Naaldwijk",11418,1889,4971
"Naarden",10187,1889,3189
"Nederweert",10681,1889,4806
"Landgraaf",10088,1889,1154
"Amstelveen",10799,1889,24896
"Nieuwerkerk aan den IJssel",10855,1889,2372
"Hellevoetsluis",10264,1889,1521
"Nijkerk",10446,1889,7756
"Nijmegen",11209,1889,32089
"Noordwijk",10769,1889,4379
"Noordwijkerhout",11134,1889,1617
"Nootdorp",10601,1889,722
"Nuenen",10761,1889,2556
"Oegstgeest",10287,1889,3831
"Oirschot",10225,1889,3897
"Oisterwijk",10103,1889,3023
"Wezep",11106,1889,5300
"Ommen",11069,1889,1797
"Stadskanaal",10610,1889,8945
"Oost-Souburg",11396,1889,1537
"Oosterhout",11280,1889,10665
"Oss",10834,1889,7549
"Oud Beijerland",11301,1889,5290
"Oudenbosch",10397,1889,4376
"Valkenburg",10868,1889,590
"Papendrecht",10427,1889,2993
"Pijnacker",10031,1889,1572
"Hoogvliet",11395,1889,1192
"Prinsenbeek",10762,1889,7090
"Purmerend",11066,1889,5547
"Putten",11109,1889,5069
"Raalte",10279,1889,5694
"Raamsdonksveer",11391,1889,4898
"Wolvega",10330,1889,2933
"Oosterwolde",10330,1889,2933
"Burgum",10330,1889,2933
"Oosterbeek",11325,1889,7095
"Velp",11355,1889,13806
"Dieren",11355,1889,13806
"Rhenen",10309,1889,5118
"Rhoon",10903,1889,1698
"Ridderkerk",10646,1889,7750
"Rijnsburg",11118,1889,2295
"Rijssen",10358,1889,4778
"Rijswijk",11133,1889,2610
"Roden",10699,1889,2805
"Roermond",11313,1889,11298
"Roosendaal",10407,1889,11311
"Rosmalen",10970,1889,3146
"Rotterdam",10345,1889,212466
"Rozenburg",11314,1889,2005
"Sassenheim",10612,1889,1419
"Schagen",10511,1889,3107
"Schiedam",11260,1889,25528
"Schijndel",11178,1889,5479
"Heerenveen",10680,1889,14084
"Den Haag",11434,1889,156761
"s-Gravenzande",10640,1889,5048
"Den Bosch",10054,1889,27125
"Sint Michielsgestel",10496,1889,3469
"Sint Oedenrode",10399,1889,4536
"Sittard",11230,1889,5631
"Sliedrecht",11331,1889,9888
"Drachten",10405,1889,10259
"Sneek",11421,1889,11458
"Soest",11021,1889,3776
"Someren",10203,1889,2951
"Son",10549,1889,1546
"Spijkenisse",10735,1889,2067
"Staphorst",11362,1889,5332
"Steenbergen",10731,1889,6837
"Steenwijk",10546,1889,5342
"Stein",11319,1889,1922
"Tegelen",11333,1889,3577
"Terneuzen",10704,1889,6244
"Tiel",10027,1889,9891
"Tilburg",10792,1889,33903
"Uden",11141,1889,5709
"Uitgeest",11238,1889,2659
"Uithoorn",11206,1889,2183
"Urk",10783,1889,2596
"Utrecht",10722,1889,84308
"Valkenswaard",11031,1889,1831
"Veendam",11292,1889,10267
"Veenendaal",11052,1889,4650
"Veghel",10985,1889,5841
"Veldhoven",10071,1889,1305
"De Meern",10713,1889,366
"IJmuiden",10620,1889,6769
"Velserbroek",10620,1889,6769
"Venlo",10477,1889,11322
"Venray",11222,1889,5725
"Leidschendam",10366,1889,1077
"Vianen",10887,1889,3466
"Vlaardingen",10811,1889,12618
"Vleuten",10658,1889,1311
"Vlijmen",11293,1889,3455
"Vlissingen",10270,1889,13163
"Voorburg",11103,1889,3259
"Voorhout",10017,1889,1293
"Voorschoten",10537,1889,2461
"Twello",10912,1889,9286
"Vriezenveen",10643,1889,3853
"Vught",11224,1889,5087
"Waalre",10959,1889,884
"Waalwijk",11359,1889,4389
"Waddinxveen",10081,1889,4348
"Wageningen",11010,1889,7638
"Wassenaar",10164,1889,3397
"Wateringen",11329,1889,1822
"Weert",11081,1889,7969
"Weesp",10773,1889,5206
"Westervoort",11085,1889,1679
"Wierden",10676,1889,6064
"Wijchen",10723,1889,3876
"Wijk bij Duurstede",10760,1889,3115
"Winschoten",10453,1889,7812
"Winterswijk",11119,1889,9246
"Woerden",10974,1889,4668
"Wormer",10648,1889,1748
"Wormerveer",10361,1889,4818
"Woudenberg",11398,1889,2492
"Zaandam",11044,1889,15276
"Zaltbommel",10557,1889,3975
"Zandvoort",10910,1889,2588
"Zoetermeer",10185,1889,1508
"Zeist",10324,1889,6819
"Zevenaar",10938,1889,4253
"Zevenbergen",10046,1889,6552
"Zierikzee",10843,1889,7060
"Zuidlaren",10002,1889,2188
"Zutphen",10254,1889,17185
"Zwaag",10218,1889,1129
"Zwijndrecht",10468,1889,5100
"Zwolle",10093,1889,26372
"Aalsmeer",11264,1899,4727
"Aalten",11046,1899,7426
"Alblasserdam",11327,1899,5297
"Alkmaar",10527,1899,18275
"Almelo",11053,1899,11204
"Alphen aan den Rijn",10517,1899,4710
"Hardenberg",10174,1899,8440
"Amersfoort",10948,1899,19089
"Amsterdam",11150,1899,498983
"Apeldoorn",11075,1899,26413
"Appingedam",10886,1899,4348
"Arnhem",10795,1899,56812
"Assen",10522,1899,11191
"Assendelft",11373,1899,3411
"Asten",10478,1899,3501
"Dedemsvaart",11190,1899,13033
"Baarn",11411,1899,6957
"Barendrecht",10943,1899,3186
"Barneveld",10906,1899,7846
"Voorthuizen",10906,1899,7846
"Beek",11374,1899,2872
"Reuver",10195,1899,2071
"Beilen",10520,1899,5652
"Bemmel",10744,1899,5753
"Schoonhoven",10962,1899,3046
"Bergen",11424,1899,1565
"Bergen op Zoom",11037,1899,15649
"Bergeijk",11160,1899,1933
"Bergschenhoek",10445,1899,1188
"Berkel en Rodenrijs",10139,1899,1834
"Berkel-Enschot",11132,1899,1371
"Best",10442,1899,2494
"Beuningen",10417,1899,2336
"Beverwijk",10272,1899,5329
"Bladel",11006,1899,1408
"Bleiswijk",10994,1899,1567
"Bodegraven",11091,1899,4264
"Borne",10326,1899,5074
"Boskoop",10419,1899,4364
"Bovenkarspel",10945,1899,1856
"Boxmeer",11227,1899,2397
"Boxtel",10083,1899,6743
"Breda",10154,1899,26096
"Breukelen",11149,1899,805
"Brielle",10232,1899,5182
"Eerbeek",10798,1899,7304
"Brunssum",10533,1899,1202
"Bunschoten Spakenburg",11343,1899,2841
"Bussum",10281,1899,7037
"Capelle aan den IJssel",11248,1899,4124
"Castricum",11287,1899,1869
"Coevorden",10383,1899,3545
"Cuijk",10023,1899,2793
"Culemborg",10342,1899,8280
"Dalfsen",11007,1899,5438
"De Bilt",10168,1899,2994
"Bilthoven",10168,1899,2994
"Delft",10928,1899,31589
"Delfzijl",10976,1899,7395
"De Lier",10241,1899,1220
"Den Helder",10285,1899,25159
"Julianadorp",10285,1899,25159
"Deurne",10379,1899,6459
"Deventer",10899,1899,26212
"Werkendam",10116,1899,2877
"Didam",10153,1899,4163
"Diemen",11039,1899,1434
"Doesburg",10327,1899,4442
"Doetinchem",10396,1899,3917
"Dokkum",10198,1899,4105
"Dongen",11412,1899,5875
"Doorn",10213,1899,2182
"Dordrecht",11157,1899,38386
"Driebergen-Rijsenburg",10777,1899,3270
"Drunen",10428,1899,2895
"Druten",10068,1899,4559
"Duiven",11028,1899,2881
"Echt",10941,1899,5531
"Volendam",10884,1899,6444
"Ede",10743,1899,15195
"Lunteren",10743,1899,15195
"Bennekom",10743,1899,15195
"Eibergen",10436,1899,5172
"Eindhoven",11298,1899,4930
"Elburg",11113,1899,2662
"Elst",11188,1899,6284
"Emmen",11180,1899,19425
"Klazienaveen",11180,1899,19425
"Enkhuizen",10729,1899,7648
"Enschede",10364,1899,24353
"Epe",10940,1899,8291
"Vaassen",10940,1899,8291
"Ermelo",10732,1899,8350
"Nunspeet",10732,1899,8350
"Etten-Leur",10750,1899,6661
"Franeker",11226,1899,7114
"Geldermalsen",10881,1899,3265
"Geldrop",10529,1899,2522
"Geleen",10048,1899,2545
"Gemert",10277,1899,4387
"Ulft",10260,1899,6611
"Genemuiden",10746,1899,2791
"Rijen",11375,1899,3564
"Goes",10674,1899,6923
"Goirle",10971,1899,2543
"Goor",10076,1899,3095
"Gorinchem",10942,1899,11855
"Gouda",10302,1899,23610
"Groesbeek",10616,1899,5897
"Groningen",10426,1899,72234
"Haaksbergen",11435,1899,5096
"Haarlem",10357,1899,76137
"Hoofddorp",11387,1899,16560
"Nieuw Vennep",11387,1899,16560
"Badhoevedorp",11387,1899,16560
"Halsteren",10387,1899,3302
"Harderwijk",10786,1899,7327
"Hardinxveld Giessendam",10167,1899,5155
"Haren",11058,1899,5122
"Harlingen",10909,1899,10267
"Joure",10022,1899,7504
"Hattem",10673,1899,3162
"Heemskerk",10679,1899,2316
"Heemstede",11288,1899,4722
"Heerde",10291,1899,5834
"Heerhugowaard",10752,1899,2785
"Heerlen",10902,1899,6312
"Heesch",10149,1899,2173
"Heiloo",10793,1899,1883
"Nijverdal",10806,1899,7508
"Helmond",10932,1899,12497
"Hendrik Ido Ambacht",10416,1899,3030
"Hengelo",10907,1899,18447
"Malden",10600,1899,1570
"Hillegom",11236,1899,5361
"Hilversum",11285,1899,20802
"Hoensbroek",11177,1899,1338
"Hoogeveen",10839,1899,11924
"Hoogezand",10410,1899,9788
"Hoogland",10545,1899,2336
"Hoorn",11392,1899,10714
"Horst",11108,1899,4569
"Houten",10230,1899,1978
"Huissen",11047,1899,4580
"Huizen",11170,1899,4647
"Hulst",11408,1899,2804
"IJsselmuiden",10641,1899,2434
"IJsselstein",10152,1899,3622
"Nieuwegein",10374,1899,2511
"Kampen",10253,1899,19664
"Katwijk",10707,1899,8164
"Kerkrade",10313,1899,9389
"Koog aan de Zaan",10776,1899,3031
"Krimpen aan den IJssel",10859,1899,2731
"Krommenie",10373,1899,3098
"Laren",10649,1899,6109
"Leek",10604,1899,5202
"Leerdam",10685,1899,5042
"Leeuwarden",11228,1899,37068
"Leiden",10702,1899,53657
"Leiderdorp",10058,1899,1941
"Lemmer",10142,1899,6085
"Leusden",10978,1899,2053
"Lichtenvoorde",10242,1899,4369
"Lisse",10197,1899,3860
"Lochem",11263,1899,4031
"Oldenzaal",11045,1899,10951
"Kaatsheuvel",11259,1899,7665
"Losser",11166,1899,7404
"Maarssen",10874,1899,1384
"Maassluis",10880,1899,7802
"Maastricht",10182,1899,34220
"Made",10258,1899,3746
"Meppel",11204,1899,10909
"Middelburg",10122,1899,18837
"Mijdrecht",11379,1899,4252
"Monster",10019,1899,4856
"Naaldwijk",11418,1899,5048
"Naarden",10187,1899,3636
"Nederweert",10681,1899,5134
"Landgraaf",10088,1899,1382
"Amstelveen",10799,1899,5226
"Nieuwerkerk aan den IJssel",10855,1899,2464
"Hellevoetsluis",10264,1899,2308
"Nijkerk",10446,1899,8124
"Nijmegen",11209,1899,42756
"Noordwijk",10769,1899,5169
"Noordwijkerhout",11134,1899,2085
"Nootdorp",10601,1899,739
"Nuenen",10761,1899,2403
"Oegstgeest",10287,1899,3109
"Oirschot",10225,1899,3920
"Oisterwijk",10103,1899,3291
"Wezep",11106,1899,6115
"Ommen",11069,1899,1586
"Stadskanaal",10610,1899,10898
"Oost-Souburg",11396,1899,2295
"Oosterhout",11280,1899,11545
"Oss",10834,1899,7753
"Oud Beijerland",11301,1899,5318
"Oudenbosch",10397,1899,4973
"Valkenburg",10868,1899,753
"Papendrecht",10427,1899,3422
"Pijnacker",10031,1899,1740
"Hoogvliet",11395,1899,1098
"Prinsenbeek",10762,1899,8935
"Purmerend",11066,1899,5695
"Putten",11109,1899,5485
"Raalte",10279,1899,5874
"Raamsdonksveer",11391,1899,5567
"Wolvega",10330,1899,2816
"Oosterwolde",10330,1899,2816
"Burgum",10330,1899,2816
"Oosterbeek",11325,1899,8235
"Velp",11355,1899,15814
"Dieren",11355,1899,15814
"Rhenen",10309,1899,5545
"Rhoon",10903,1899,1668
"Ridderkerk",10646,1899,8378
"Rijnsburg",11118,1899,2459
"Rijssen",10358,1899,5487
"Rijswijk",11133,1899,3328
"Roden",10699,1899,3216
"Roermond",11313,1899,12348
"Roosendaal",10407,1899,13720
"Rosmalen",10970,1899,3436
"Rotterdam",10345,1899,318507
"Rozenburg",11314,1899,1961
"Sassenheim",10612,1899,1957
"Schagen",10511,1899,2874
"Schiedam",11260,1899,27126
"Schijndel",11178,1899,5539
"Heerenveen",10680,1899,14557
"Den Haag",11434,1899,206022
"s-Gravenzande",10640,1899,5714
"Den Bosch",10054,1899,33529
"Sint Michielsgestel",10496,1899,3714
"Sint Oedenrode",10399,1899,4441
"Sittard",11230,1899,6232
"Sliedrecht",11331,1899,10292
"Drachten",10405,1899,11490
"Sneek",11421,1899,12075
"Soest",11021,1899,4363
"Someren",10203,1899,3013
"Son",10549,1899,1543
"Spijkenisse",10735,1899,1994
"Staphorst",11362,1899,5962
"Steenbergen",10731,1899,7537
"Steenwijk",10546,1899,6754
"Stein",11319,1899,2076
"Tegelen",11333,1899,4948
"Terneuzen",10704,1899,8735
"Tiel",10027,1899,10788
"Tilburg",10792,1899,50612
"Uden",11141,1899,5839
"Uitgeest",11238,1899,2664
"Uithoorn",11206,1899,2243
"Urk",10783,1899,3845
"Utrecht",10722,1899,117088
"Valkenswaard",11031,1899,2337
"Veendam",11292,1899,10996
"Veenendaal",11052,1899,5345
"Veghel",10985,1899,5771
"Veldhoven",10071,1899,1371
"De Meern",10713,1899,429
"IJmuiden",10620,1899,10789
"Velserbroek",10620,1899,10789
"Venlo",10477,1899,14399
"Venray",11222,1899,6625
"Leidschendam",10366,1899,1172
"Vianen",10887,1899,3465
"Vlaardingen",10811,1899,16661
"Vleuten",10658,1899,1587
"Vlijmen",11293,1899,3440
"Vlissingen",10270,1899,20340
"Voorburg",11103,1899,4126
"Voorhout",10017,1899,1571
"Voorschoten",10537,1899,2794
"Twello",10912,1899,10087
"Vriezenveen",10643,1899,4252
"Vught",11224,1899,5573
"Waalre",10959,1899,956
"Waalwijk",11359,1899,4927
"Waddinxveen",10081,1899,4278
"Wageningen",11010,1899,9027
"Wassenaar",10164,1899,3619
"Wateringen",11329,1899,1941
"Weert",11081,1899,10316
"Weesp",10773,1899,6683
"Westervoort",11085,1899,1820
"Wierden",10676,1899,6526
"Wijchen",10723,1899,4084
"Wijk bij Duurstede",10760,1899,3186
"Winschoten",10453,1899,10100
"Winterswijk",11119,1899,10915
"Woerden",10974,1899,5178
"Wormer",10648,1899,1917
"Wormerveer",10361,1899,7113
"Woudenberg",11398,1899,2518
"Zaandam",11044,1899,21558
"Zaltbommel",10557,1899,3985
"Zandvoort",10910,1899,3168
"Zoetermeer",10185,1899,1554
"Zeist",10324,1899,8846
"Zevenaar",10938,1899,4361
"Zevenbergen",10046,1899,7067
"Zierikzee",10843,1899,6818
"Zuidlaren",10002,1899,2771
"Zutphen",10254,1899,18381
"Zwaag",10218,1899,1095
"Zwijndrecht",10468,1899,5723
"Zwolle",10093,1899,30560
"Aalsmeer",11264,1909,5082
"Aalten",11046,1909,8876
"Alblasserdam",11327,1909,6130
"Alkmaar",10527,1909,21084
"Almelo",11053,1909,10387
"Alphen aan den Rijn",10517,1909,5981
"Hardenberg",10174,1909,9778
"Amersfoort",10948,1909,23620
"Amsterdam",11150,1909,566131
"Apeldoorn",11075,1909,35572
"Appingedam",10886,1909,5261
"Arnhem",10795,1909,63990
"Assen",10522,1909,12905
"Assendelft",11373,1909,3302
"Asten",10478,1909,3672
"Dedemsvaart",11190,1909,7907
"Baarn",11411,1909,8952
"Barendrecht",10943,1909,3416
"Barneveld",10906,1909,9319
"Voorthuizen",10906,1909,9319
"Beek",11374,1909,3132
"Reuver",10195,1909,2761
"Beilen",10520,1909,5449
"Bemmel",10744,1909,5632
"Schoonhoven",10962,1909,3227
"Bergen",11424,1909,2236
"Bergen op Zoom",11037,1909,15512
"Bergeijk",11160,1909,2222
"Bergschenhoek",10445,1909,1370
"Berkel en Rodenrijs",10139,1909,2497
"Berkel-Enschot",11132,1909,1539
"Best",10442,1909,2841
"Beuningen",10417,1909,2620
"Beverwijk",10272,1909,6614
"Bladel",11006,1909,1557
"Bleiswijk",10994,1909,1728
"Bodegraven",11091,1909,5148
"Borne",10326,1909,5684
"Boskoop",10419,1909,5944
"Bovenkarspel",10945,1909,2309
"Boxmeer",11227,1909,2509
"Boxtel",10083,1909,7847
"Breda",10154,1909,27389
"Breukelen",11149,1909,813
"Brielle",10232,1909,3796
"Eerbeek",10798,1909,7642
"Brunssum",10533,1909,1446
"Bunschoten Spakenburg",11343,1909,3268
"Bussum",10281,1909,12808
"Capelle aan den IJssel",11248,1909,5006
"Castricum",11287,1909,2813
"Coevorden",10383,1909,5067
"Cuijk",10023,1909,2958
"Culemborg",10342,1909,8965
"Dalfsen",11007,1909,5756
"De Bilt",10168,1909,4095
"Bilthoven",10168,1909,4095
"Delft",10928,1909,34191
"Delfzijl",10976,1909,8568
"De Lier",10241,1909,1325
"Den Helder",10285,1909,27159
"Julianadorp",10285,1909,27159
"Deurne",10379,1909,7072
"Deventer",10899,1909,27783
"Werkendam",10116,1909,3210
"Didam",10153,1909,4705
"Diemen",11039,1909,2335
"Doesburg",10327,1909,4460
"Doetinchem",10396,1909,4418
"Dokkum",10198,1909,3932
"Dongen",11412,1909,6638
"Doorn",10213,1909,2849
"Dordrecht",11157,1909,46355
"Driebergen-Rijsenburg",10777,1909,4104
"Drunen",10428,1909,2904
"Druten",10068,1909,4873
"Duiven",11028,1909,3144
"Echt",10941,1909,6662
"Volendam",10884,1909,6623
"Ede",10743,1909,19150
"Lunteren",10743,1909,19150
"Bennekom",10743,1909,19150
"Eibergen",10436,1909,5633
"Eindhoven",11298,1909,5665
"Elburg",11113,1909,2742
"Elst",11188,1909,6947
"Emmen",11180,1909,27465
"Klazienaveen",11180,1909,27465
"Enkhuizen",10729,1909,7748
"Enschede",10364,1909,34098
"Epe",10940,1909,9430
"Vaassen",10940,1909,9430
"Ermelo",10732,1909,9364
"Nunspeet",10732,1909,9364
"Etten-Leur",10750,1909,7649
"Franeker",11226,1909,7642
"Geldermalsen",10881,1909,3570
"Geldrop",10529,1909,2757
"Geleen",10048,1909,2901
"Gemert",10277,1909,4457
"Ulft",10260,1909,7926
"Genemuiden",10746,1909,2992
"Rijen",11375,1909,4328
"Goes",10674,1909,7620
"Goirle",10971,1909,3013
"Goor",10076,1909,3201
"Gorinchem",10942,1909,12200
"Gouda",10302,1909,24574
"Groesbeek",10616,1909,6759
"Groningen",10426,1909,74609
"Haaksbergen",11435,1909,5494
"Haarlem",10357,1909,69410
"Hoofddorp",11387,1909,19440
"Nieuw Vennep",11387,1909,19440
"Badhoevedorp",11387,1909,19440
"Halsteren",10387,1909,4125
"Harderwijk",10786,1909,7289
"Hardinxveld Giessendam",10167,1909,5691
"Haren",11058,1909,5916
"Harlingen",10909,1909,10209
"Joure",10022,1909,7956
"Hattem",10673,1909,3598
"Heemskerk",10679,1909,2856
"Heemstede",11288,1909,7074
"Heerde",10291,1909,6557
"Heerhugowaard",10752,1909,3320
"Heerlen",10902,1909,11021
"Heesch",10149,1909,2370
"Heiloo",10793,1909,2299
"Nijverdal",10806,1909,9000
"Helmond",10932,1909,14754
"Hendrik Ido Ambacht",10416,1909,4162
"Hengelo",10907,1909,23941
"Malden",10600,1909,1608
"Hillegom",11236,1909,7976
"Hilversum",11285,1909,31458
"Hoensbroek",11177,1909,1565
"Hoogeveen",10839,1909,12639
"Hoogezand",10410,1909,10644
"Hoogland",10545,1909,2523
"Hoorn",11392,1909,11016
"Horst",11108,1909,5419
"Houten",10230,1909,2075
"Huissen",11047,1909,4362
"Huizen",11170,1909,5291
"Hulst",11408,1909,3274
"IJsselmuiden",10641,1909,2434
"IJsselstein",10152,1909,4024
"Nieuwegein",10374,1909,3122
"Kampen",10253,1909,19745
"Katwijk",10707,1909,10417
"Kerkrade",10313,1909,10625
"Koog aan de Zaan",10776,1909,3404
"Krimpen aan den IJssel",10859,1909,3390
"Krommenie",10373,1909,3748
"Laren",10649,1909,7505
"Leek",10604,1909,6027
"Leerdam",10685,1909,6717
"Leeuwarden",11228,1909,36491
"Leiden",10702,1909,58253
"Leiderdorp",10058,1909,2357
"Lemmer",10142,1909,6595
"Leusden",10978,1909,2775
"Lichtenvoorde",10242,1909,4626
"Lisse",10197,1909,5479
"Lochem",11263,1909,4730
"Oldenzaal",11045,1909,17577
"Kaatsheuvel",11259,1909,7817
"Losser",11166,1909,10099
"Maarssen",10874,1909,1387
"Maassluis",10880,1909,9175
"Maastricht",10182,1909,37483
"Made",10258,1909,4240
"Meppel",11204,1909,11000
"Middelburg",10122,1909,19564
"Mijdrecht",11379,1909,3744
"Monster",10019,1909,5784
"Naaldwijk",11418,1909,6403
"Naarden",10187,1909,3874
"Nederweert",10681,1909,5653
"Landgraaf",10088,1909,2163
"Amstelveen",10799,1909,6206
"Nieuwerkerk aan den IJssel",10855,1909,2840
"Hellevoetsluis",10264,1909,2507
"Nijkerk",10446,1909,8528
"Nijmegen",11209,1909,54803
"Noordwijk",10769,1909,6302
"Noordwijkerhout",11134,1909,2941
"Nootdorp",10601,1909,823
"Nuenen",10761,1909,2462
"Oegstgeest",10287,1909,4502
"Oirschot",10225,1909,4065
"Oisterwijk",10103,1909,3573
"Wezep",11106,1909,6492
"Ommen",11069,1909,1790
"Stadskanaal",10610,1909,13687
"Oost-Souburg",11396,1909,3121
"Oosterhout",11280,1909,12563
"Oss",10834,1909,8429
"Oud Beijerland",11301,1909,6056
"Oudenbosch",10397,1909,5533
"Valkenburg",10868,1909,898
"Papendrecht",10427,1909,3974
"Pijnacker",10031,1909,1981
"Hoogvliet",11395,1909,1609
"Prinsenbeek",10762,1909,10876
"Purmerend",11066,1909,5798
"Putten",11109,1909,6471
"Raalte",10279,1909,6518
"Raamsdonksveer",11391,1909,6204
